Name	Tags	Image	Description
EthansFeet.com	Iceberg, Layer7, EthansFeet.com	https://pbs.twimg.com/profile_images/1467926213146546179/XyrC1Ow8_400x400.jpg	After the great WikiFeet War ended and Ethan was banned from the site entirely, Love created a website to forever solidify Ethans beautiful little manlets in the history books.
Bull Penis Staff	Iceberg, Layer6, BullPenisStaff	https://static.wikia.nocookie.net/h3podcast/images/4/4f/Dan%27s_bull_penis_staff.png	In September of 2022 Liver King was a guest on Leftovers. In an attempt to live the primal lifestyle, Ethan and Hasan ate a bull penis. It was gross. Anyway, Sam played the ol "dick-in-resin" trick and made a cane for Dan! It's squishy.
Nathaniel Klansman	Iceberg, Layer7, NathanielKlansman	https://i.ytimg.com/vi/LKgeKe3VG-o/maxresdefault.jpg	Nathaniel Klansman started as a good ol' fashion southern boy, but as time pressed on, the dark secrets of Nathaniel began to come to light. /n   Nathaniel is not a good man. /n   Nathaniel has done things. Unimaginable things. And when those storm clouds roll in over them fields, and that rain start comin' down, those secrets bubble to the surface for all to see. (Cue the music)
The Feeding Window	Iceberg, TheFeedingWindow, Layer10	https://pbs.twimg.com/profile_images/1716913295062601728/w2ejQtHe_400x400.jpg	The feeding window was a failed attempt for Ethan to lose weight. The plan was simple, if he only allowed himself to eat food a few hours a day and fasted for the rest, then the weight would come right off! Right? ...Right? (Ethan has since lost the weight and we're very proud of him)
The Sam Seder Surprise!	Iceberg, Layer7, SamSederSurprise	https://www.telegram.com/gcdn/authoring/2018/12/04/NTEG/ghows-WT-7ba95a1f-71ec-672d-e053-0100007f1458-06ccc3f2.jpeg	Steven Crowder famously came onto the Podcast to debate Ethan. Ethan responded by bringing on someone whom Steven had been avoiding for years - Sam Seder! As soon as it was revealed there was a moment of panic before Steven promptly ended the call.
The Mole People	Iceberg, Layer8, TheMolePeople	https://i0.wp.com/stefanpoag.com/wp-content/uploads/2010/08/molepeoplemoledude1.jpg	Rory Hicks dwells deep below the surface, sending communications up to the Podcast via superchats. Rory will often let us know what the mole people are up to below the surface, and many a time they have been ready to take up arms for the good of the Podcast! We haven't heard from the mole-folk in awhile, unfortunately. Only time will tell whether that means they met an untimely end, or are just waiting for the right moment to strike with their gun-lances!
HungerFF	Iceberg, Layer3, HungerFF	https://www.misterbwings.com/wp-content/uploads/2021/03/RR_002-1024x768.jpg	The FF stands for Fist Fucking. He prolapses his anus at will, and prolapsed LIVE for Howie Mandel. An homage was made on the Podcast called The Clockwork Rosebud. The few that have gotten to witness the video have all responded with tears in their eyes at its unmatched beauty. Hunger would later make a fleshlight of his prolapse, and get in some hot water with the fanbase when he accidentally forgot to remove some inappropriate things from his background - That call-in has since been removed for... Obvious reasons.
Deepfake JayZ Intro	Iceberg, DeepfakeJayZIntro, Layer8	https://images.nightcafe.studio/jobs/SOxhV2ST065bqnNWD7Xq/SOxhV2ST065bqnNWD7Xq--1--m8xcr.jpg	Back in September of 2020 Ian made a Powerpoint named "Jay-I and the March of the Machine", about how AI is taking over music. At the end he presented an AI generated song about the Podcast sung by none other than Jay-Z! It remained a staple on the show for quite some time, but these days it is rarely heard.
Barefoot Brothers Drive	Iceberg, Layer8, BarefootBrothersDrive	https://www.barefootbrothersdrive.com/wp-content/uploads/2021/09/6-month-324x324.jpg	Have you ever wanted to take drive barefoot, video tape it, and make money doing so? Then C-Man, and his website, https://www.barefootbrothersdrive.com/, is your ticket! In October of 2021 a peculiar ad surfaced on YouTube with this exact business offer - Leading to Ethan and crew scratching their heads as to who would create such an ad, and why it was airing on YouTube. This would lead to C-Man calling into the show and getting into beef with a man named Liam who claimed to be interested in C-Mans ads.
Ben Afflecks Tattoo	Iceberg, Layer6, BenAfflecksBackTattoo	https://compote.slate.com/images/61e0cde3-c534-4dbd-b672-35e178f41136.jpeg	Back in 2019 Ethan showed Hila Ben Afflecks back tattoo, and she declared it to be "The Worst Tattoo of All Time". This became a re-occurring segment on the show where Ethan would show Hila bad tattoo's to see if they could find an even worse tattoo. For years Ben Afflecks tattoo would reign supreme as the worst tattoo, but eventually it would be de-throned by none other than Ed Sheeran.
