title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Fuck me right?	ColleenBallinger_FuckMeRight.mp3	H3TV	82	07-10-2023	8593	Colleen Ballinger	https://youtu.be/eb8z8kaekfw&t=8593	
Your brother who passed away gets 5 big booms	CostcoGuys_SorryAboutPassingAway5BigBooms.mp3	H3Show	96	01-06-2025	119	Costco Guys	https://youtu.be/0SWIbsrw5No&t=119	
BOOM BOOM BOOM BOOM BOOM!!	CostcoGuys_FiveBigBooms.mp3	H3Show	96	01-06-2025	119	Costco Guys	https://youtu.be/0SWIbsrw5No&t=119	
Ba ba ba ba ba ba ba ba BOOM	CostcoGuys_BaBaBaBaBaBaBaBaBOOM.mp3	Unknown	1	05-05-2015	0	Costco Guys	https://youtu.be/zOYZ3XMGjUM&t=0	
BOOOOOOOOOMMMMMM	CostcoGuys_BOOM.mp3	Unknown	1	05-05-2015	0	Costco Guys	https://youtu.be/zOYZ3XMGjUM&t=0	
Your Brother That Passed Away Gets 5 Big Booms!	CostcoGuys_SorryAboutPassingAwayTheyGet5BigBooms.mp3	Unknown	1	05-05-2015	0	Costco Guys	https://youtu.be/zOYZ3XMGjUM&t=0	
Trying to think but nothing happens	Curly_ImTryingToThinkButNothingHappens.mp3	Podcast	245	04-29-2021	2851	Curly Howard	https://youtu.be/Htq468essmM&t=2851	
I think the angels threw her down...	CurtisAtwood_AngelsThrewHerDown.mp3	H3TV	98	11-13-2023	3588	Curtis Atwood	https://www.youtube.com/watch?v=v97xGpOpzuM&t=3588	
AB AB AB AB AB	Dad_AbAbAbAb.mp3	Unknown	1	05-05-2015	0	Dad (Nathan Barnatt)	https://youtu.be/zOYZ3XMGjUM&t=0	
Suck... My Tongue	DalaiLama_SuckMyTongue.mp3	OTR	67	04-12-2023	5349	Dalai Lama	https://www.youtube.com/watch?v=hLMJZkI9Afc&t=5349	
WHAT?!	Dan_WHAT.mp3	H3Show	118	03-05-2025	9177	Dan	https://youtu.be/yrWs1e_vw0U&t=9177	
